northing,easting,upward,residual_gravity
-3204121.2254189923,2090633.542186877,2000.0,2.6745741048328644
-3204121.2254189923,2095624.8965308517,2000.0,0.8164668842878202
-3204121.2254189923,2100616.250874826,2000.0,7.834089561061451
-3199123.710266647,1910944.785803792,2000.0,19.704379746335114
-3199123.710266647,1915936.1401477666,2000.0,14.908483937167151
-3199123.710266647,1920927.4944917413,2000.0,13.308517786379033
-3199123.710266647,1925918.8488357158,2000.0,10.62212545591062
-3199123.710266647,1930910.2031796903,2000.0,8.555681309496372
-3199123.710266647,1935901.557523665,2000.0,7.491098740258738
-3199123.710266647,1940892.9118676395,2000.0,6.163804774248722
-3199123.710266647,1945884.2662116142,2000.0,6.094859077436495
-3199123.710266647,1950875.6205555887,2000.0,5.4420706109682495
-3199123.710266647,1955866.9748995632,2000.0,5.4332676335998995
-3199123.710266647,1960858.329243538,2000.0,4.600188725343009
-3199123.710266647,1965849.6835875125,2000.0,4.5671229288499235
-3199123.710266647,1970841.037931487,2000.0,5.4378684803993185
-3199123.710266647,1975832.3922754617,2000.0,5.697493486404495
-3199123.710266647,1980823.7466194362,2000.0,4.861340038738882
-3199123.710266647,1985815.100963411,2000.0,2.5169282941591766
-3199123.710266647,1990806.4553073854,2000.0,-0.20952908451258087
-3199123.710266647,1995797.80965136,2000.0,1.9058897932751346
-3199123.710266647,2000789.1639953346,2000.0,0.6533508564278171
-3199123.710266647,2005780.5183393091,2000.0,-0.9754992613007339
-3199123.710266647,2010771.8726832836,2000.0,1.357124638764854
-3199123.710266647,2015763.2270272584,2000.0,-0.3034055046956322
-3199123.710266647,2020754.5813712329,2000.0,2.4416706922393265
-3199123.710266647,2025745.9357152074,2000.0,3.398081201560462
-3199123.710266647,2030737.290059182,2000.0,2.4258149906283983
-3199123.710266647,2035728.6444031566,2000.0,1.5395151586166569
-3199123.710266647,2040719.9987471313,2000.0,3.024226366339789
-3199123.710266647,2045711.3530911058,2000.0,1.5344916173060412
-3199123.710266647,2050702.7074350803,2000.0,1.0611389608084985
-3199123.710266647,2055694.061779055,2000.0,-0.11675363816178924
-3199123.710266647,2060685.4161230295,2000.0,-1.7078219205707472
-3199123.710266647,2065676.770467004,2000.0,-5.303804762798183
-3199123.710266647,2070668.1248109788,2000.0,-3.5509524354454114
-3199123.710266647,2075659.4791549533,2000.0,1.6253068283583374
-3199123.710266647,2080650.8334989278,2000.0,1.3964272930029147
-3199123.710266647,2085642.1878429025,2000.0,-0.18391439122753858
-3199123.710266647,2090633.542186877,2000.0,-2.296462932288169
-3199123.710266647,2095624.8965308517,2000.0,1.2282084325699878
-3199123.710266647,2100616.250874826,2000.0,6.701367934066162
-3194126.195114301,1910944.785803792,2000.0,17.21677111907033
-3194126.195114301,1915936.1401477666,2000.0,13.305688455727825
-3194126.195114301,1920927.4944917413,2000.0,14.054645531385404
-3194126.195114301,1925918.8488357158,2000.0,10.095127658244069
-3194126.195114301,1930910.2031796903,2000.0,6.903975204199729
-3194126.195114301,1935901.557523665,2000.0,4.781958908795168
-3194126.195114301,1940892.9118676395,2000.0,2.6176787336012044
-3194126.195114301,1945884.2662116142,2000.0,3.4375091056100278
-3194126.195114301,1950875.6205555887,2000.0,3.4989922522925987
-3194126.195114301,1955866.9748995632,2000.0,3.4639643911404066
-3194126.195114301,1960858.329243538,2000.0,1.8198900877766488
-3194126.195114301,1965849.6835875125,2000.0,1.2275951944582446
-3194126.195114301,1970841.037931487,2000.0,2.9472217122427575
-3194126.195114301,1975832.3922754617,2000.0,3.436138269785486
-3194126.195114301,1980823.7466194362,2000.0,2.5564702007455877
-3194126.195114301,1985815.100963411,2000.0,1.1398336478911515
-3194126.195114301,1990806.4553073854,2000.0,0.2012883657256305
-3194126.195114301,1995797.80965136,2000.0,-0.7973486995571181
-3194126.195114301,2000789.1639953346,2000.0,-0.4622309593210081
-3194126.195114301,2005780.5183393091,2000.0,-0.5529334202731893
-3194126.195114301,2010771.8726832836,2000.0,0.37943868515845075
-3194126.195114301,2015763.2270272584,2000.0,0.153685828176425
-3194126.195114301,2020754.5813712329,2000.0,-0.8473884637529717
-3194126.195114301,2025745.9357152074,2000.0,2.408374437117583
-3194126.195114301,2030737.290059182,2000.0,2.9271321997978603
-3194126.195114301,2035728.6444031566,2000.0,2.6629349035711307
-3194126.195114301,2040719.9987471313,2000.0,2.32526161137041
-3194126.195114301,2045711.3530911058,2000.0,1.1826625045641666
-3194126.195114301,2050702.7074350803,2000.0,-3.0676839342475626
-3194126.195114301,2055694.061779055,2000.0,-3.694326826854706
-3194126.195114301,2060685.4161230295,2000.0,-3.643841445452981
-3194126.195114301,2065676.770467004,2000.0,-3.835801560491037
-3194126.195114301,2070668.1248109788,2000.0,-2.9027103307125284
-3194126.195114301,2075659.4791549533,2000.0,-1.951371119307535
-3194126.195114301,2080650.8334989278,2000.0,-4.025479688561806
-3194126.195114301,2085642.1878429025,2000.0,-3.3553947041453176
-3194126.195114301,2090633.542186877,2000.0,-2.7746622688585076
-3194126.195114301,2095624.8965308517,2000.0,-3.510323979554686
-3194126.195114301,2100616.250874826,2000.0,-0.6015020901390044
-3189128.679961955,1910944.785803792,2000.0,16.92333224248438
-3189128.679961955,1915936.1401477666,2000.0,13.10406445296251
-3189128.679961955,1920927.4944917413,2000.0,10.63119150111092
-3189128.679961955,1925918.8488357158,2000.0,8.195350257396543
-3189128.679961955,1930910.2031796903,2000.0,5.488722738054723
-3189128.679961955,1935901.557523665,2000.0,2.1471573484373443
-3189128.679961955,1940892.9118676395,2000.0,2.413087580573207
-3189128.679961955,1945884.2662116142,2000.0,1.7923251073850728
-3189128.679961955,1950875.6205555887,2000.0,2.2245915877307376
-3189128.679961955,1955866.9748995632,2000.0,1.7512417349576963
-3189128.679961955,1960858.329243538,2000.0,0.8388553826783699
