Lon,Lat,Easting,Northing,Height Sea Level,Height Ellipsoid,Total Gravity,Free Air Disturbance,Topo Free Disturbance
21.192,-31.097,2023926.3281900124,-3108524.2701259954,1215.6,1215.7,979064.141128634,27.8153972143773,-105.85909933149316
21.192,-31.629,2023926.3281900124,-3167736.010373599,1160.2,1160.3,979131.5002557264,35.368354619829915,-93.62535111813199
21.198,-31.341,2024499.3537642448,-3135639.5409266343,1094.8,1094.9,979111.7772874996,18.64520552405156,-103.47037829826279
21.204,-31.311,2025072.3793384777,-3132301.87990458,1094.8,1094.9,979108.4414781382,17.716585639631376,-103.39375006013836
21.208,-31.388,2025454.3963879661,-3140870.704859466,1143.6,1143.7,979108.1304940248,26.27921761397738,-101.28912935800787
21.211,-31.163,2025740.9091750823,-3115851.762393088,1150.1,1150.2,979083.136811756,21.328094692900777,-106.91522751229468
21.212,-31.246,2025836.4134374545,-3125073.960725601,1144.5,1144.6,979090.9930659408,20.81163583754096,-105.33117074047145
21.214,-31.769,2026027.421962199,-3183374.669477145,1237.0,1237.1,979131.9527724662,48.20356400846504,-88.79640546643492
21.231,-31.563,2027650.9944225252,-3160371.74573444,1237.8,1237.9,979109.9512883528,43.07946913794149,-87.54350713443998
21.238,-31.023,2028319.5242591298,-3100314.7077581794,1303.6,1303.7,979043.3804631048,40.109797538025305,-100.22032795234293
21.239,-31.952,2028415.028521502,-3203852.7130285357,1279.8,1279.9,979143.0130985674,57.64234674163163,-83.68595773930585
21.253,-31.661,2029752.0881947116,-3171308.4615293043,1176.8,1176.9,979131.099297576,37.50589069176931,-91.9066887557326
21.266,-31.376,2030993.6436055491,-3139534.8373951283,1109.6,1109.7,979111.3336713368,19.95735255687032,-102.27101289145081
21.268,-31.207,2031184.6521302937,-3120739.6208275463,1182.9,1183.0,979077.8032189966,22.59159148170147,-109.1936379065501
21.27,-31.716,2031375.6606550377,-3177451.5162540004,1229.6,1229.7,979127.635989068,45.88855895353481,-91.19428083849832
21.285,-31.992,2032808.2245906196,-3208334.265990432,1276.9,1277.0,979146.854100274,57.342244011349976,-84.42640533475515
21.295,-31.772,2033763.267214341,-3183710.044695273,1292.1,1292.2,979120.1056320472,53.11072199395858,-89.77347552537776
21.302,-31.93,2034431.7970509457,-3201388.698779913,1272.9,1273.0,979140.3261955932,54.61163300240878,-86.73198201410233
21.304,-31.499,2034622.8055756895,-3153235.6642295457,1180.3,1180.4,979111.065275026,31.610027546063066,-99.82092493942335
21.314,-31.248,2035577.848199411,-3125296.2832709146,1125.2,1125.3,979093.5184815514,17.222815042361617,-107.67307791185257
