Lon,Lat,Height Sea Level,Height Ellipsoid,Total Gravity,Free Air Disturbance
21.621,-31.84,1271.4,1271.5,979122.080599584,43.19706582836807
21.632,-31.347,1284.1,1284.2,979071.1329808616,35.91611475334503
21.634,-31.119,1288.6,1288.7,979057.0853462524,41.520461902953684
21.637,-31.902,1283.8,1283.9,979125.3290368912,45.24719541321974
21.641,-31.453,1220.8,1220.9,979094.4806004371,31.220100983977318
21.646,-31.619,1177.2,1177.3,979118.9846163238,28.90374117041938
21.659,-31.981,1320.6,1320.7,979128.1378069626,52.999021716066636
21.66,-31.159,1270.0,1270.1,979062.4345929208,37.93339446198661
21.661,-31.231,1281.6,1281.7,979062.20568824,35.51930419693235
21.663,-31.29,1334.2,1334.3,979055.697910652,40.50856034550816
21.664,-31.582,1214.7,1214.8,979108.9219583116,33.392870794050395
21.676,-31.906,1298.9,1299.0,979122.4675695176,46.71934513153974
21.68,-31.805,1231.3,1231.4,979125.9231807234,37.50313110195566
21.681,-31.508,1187.9,1188.0,979104.4729984548,26.63777857029345
21.699,-31.04,1271.1,1271.2,979055.1031255472,40.45026900595985
21.706,-31.731,1203.2,1203.3,979124.0143956188,32.91085412574466
21.711,-31.844,1264.3,1264.4,979123.4852058332,42.08758675842546
21.711,-31.192,1247.1,1247.2,979069.2089441316,35.00290964648593
21.712,-31.104,1256.0,1256.1,979063.3801515102,38.95777538174298
21.714,-31.614,1192.3,1192.4,979116.2124374683,31.193017123267055
21.716,-31.654,1192.6,1192.7,979120.438985128,32.28470019577071
21.723,-31.343,1255.3,1255.4,979073.6450010146,29.865084658260457
21.727,-31.481,1188.7,1188.8,979101.2225486744,25.807209677412175
21.765,-31.656,1199.1,1199.2,979117.4028346324,31.092272546258755
21.772,-31.431,1200.3,1200.4,979090.6302635696,22.81483283545822
21.778,-31.21,1248.3,1248.4,979069.0692953428,33.79240304545965
21.782,-31.494,1210.3,1210.4,979096.4049542084,26.606734822969884
21.782,-31.388,1204.7,1204.8,979085.6727719394,22.670241490821354
21.783,-31.855,1288.5,1288.6,979120.7772485362,45.95374658622313
21.783,-31.747,1252.2,1252.3,979115.186582154,37.90519666322507
21.793,-31.076,1288.0,1288.1,979054.7053363392,42.39127755665686
21.797,-31.008,1312.9,1313.0,979048.838241873,49.63312519562896
21.809,-31.809,1255.6,1255.7,979120.7358773354,39.48809755430557
21.82,-31.692,1227.7,1227.8,979115.4899417348,35.095247776131146
21.822,-31.629,1219.6,1219.7,979107.3886164872,29.580794552108273
21.826,-31.954,1315.1,1315.2,979122.5102118064,47.866118723060936
21.834,-31.846,1276.1,1276.2,979120.5966407435,42.677033114945516
21.852,-31.666,1214.5,1214.6,979112.4472519496,30.08009665692225
21.855,-31.514,1254.7,1254.8,979088.7092285464,30.99758192524314
21.863,-31.37,1262.0,1262.1,979071.2635462777,27.382731491001323
21.869,-31.443,1224.9,1225.0,979084.1619911012,22.970449219923466
21.871,-31.049,1287.7,1287.8,979053.932792946,43.682221982162446
21.874,-31.208,1283.7,1283.8,979059.0602854294,34.86365335283335
21.882,-31.578,1251.3,1251.4,979094.6599919546,30.74371491128113
21.888,-31.782,1242.3,1242.4,979118.8057143664,35.6399094137596
21.892,-31.927,1309.0,1309.1,979121.877604014,47.54209723812528
21.912,-31.309,1311.4,1311.5,979056.6240488376,32.87775455135852
21.915,-31.178,1277.3,1277.4,979059.248564724,35.47906391520519
21.918,-31.85,1322.0,1322.1,979112.5266282704,48.44178176636342
21.919,-31.705,1267.9,1268.0,979106.1878431656,37.143827408668585
21.926,-31.241,1291.6,1291.7,979058.2288749388,33.82614726864267
21.945,-31.018,1316.3,1316.4,979047.3893908252,48.43528459884692
21.949,-31.379,1290.4,1290.5,979064.369906712,28.52698921703268
21.964,-31.952,1331.3,1331.4,979121.0689225984,51.58423076348845
21.965,-31.148,1283.5,1283.6,979057.8064861448,38.34958910057321
21.965,-31.19,1346.4,1346.5,979046.502581464,43.08806849003304
21.968,-31.558,1244.3,1244.4,979090.1796291237,25.71582618285902
21.979,-31.856,1307.3,1307.4,979115.1717486996,46.06646291865036
21.98,-31.61,1261.4,1261.5,979092.1428047292,28.762033232022077
21.986,-31.464,1276.2,1276.3,979073.1161224603,26.06058536551427
21.992,-31.261,1304.9,1305.0,979055.70167012,33.79900808399543
21.995,-31.8,1270.6,1270.7,979114.8031467168,38.91083498264197
20.009,-30.701,962.4,962.5,979106.9216626036,24.006596377817914
20.039,-30.13,940.0,940.1,979068.0387579228,23.24648123641964
20.084,-30.645,969.3,969.4,979097.4454167885,21.098015109542757
20.086,-30.177,900.0,900.1,979085.9465915406,25.125245199655183
20.101,-30.976,1026.3,1026.4,979124.2961074272,39.22867491224315
20.101,-30.119,920.0,920.1,979065.3996400536,15.299249675124884
20.13,-30.831,931.0,931.1,979124.8577989192,21.932191593688913
20.145,-30.196,930.0,930.1,979073.1859260116,20.1289150667144
20.147,-30.594,971.2,971.3,979090.0055689908,18.282720395713113
20.164,-30.792,935.0,935.1,979115.3991007638,16.807125349296257
20.212,-30.591,947.7,947.8,979093.744275516,15.008476848481223
20.227,-30.2,920.0,920.1,979071.3229502682,14.86647358618211
20.249,-30.069,918.0,918.1,979077.3150455876,30.5159366147127
20.251,-30.649,995.6,995.7,979090.1312521128,21.581101936404593
20.257,-30.706,950.8,950.9,979102.8029427516,15.912414411781356
20.269,-30.525,976.2,976.3,979080.3424193484,15.619516633916646
20.293,-30.576,948.9,949.0,979089.838435235,12.659794246777892
20.294,-30.23,930.0,930.1,979083.7375146678,28.009659620001912
20.323,-30.974,976.9,977.0,979126.1230464408,25.974268304300494
20.329,-30.919,954.9,955.0,979122.24818942,19.69418063980993
20.332,-30.876,952.9,953.0,979118.254252966,18.506180536933243
20.34,-30.278,935.0,935.1,979089.9513323988,31.992458279128186
20.343,-30.786,949.1,949.2,979109.6078482856,15.842760721803643
20.352,-30.494,955.2,955.3,979080.5718959452,11.819399209693074
20.361,-30.938,958.9,959.0,979122.2336660168,19.400389809394255
20.369,-30.815,946.2,946.3,979110.314983748,13.350878485711291
20.369,-30.554,970.5,970.6,979081.5945314076,12.820268842042424
20.391,-30.051,880.0,880.1,979067.4902304164,10.376278165844269
20.395,-30.755,940.1,940.2,979104.2505247444,10.170488024596125
20.411,-30.82,956.8,956.9,979106.9832312696,12.892084941035137
20.419,-30.019,920.0,920.1,979057.952794816,15.685160691384226
