LINE,STATION,LONGITUDE,LATITUDE,HEIGHT_SEA_LEVEL_M,HEIGHT_ELLIPSOID_M
0,5297,20.294,-30.23,930,930.1
0,5298,20.323,-30.974,976.9,977
0,5299,20.329,-30.919,954.9,955
0,5300,20.332,-30.876,952.9,953
0,5301,20.34,-30.278,935,935.1
0,5302,20.343,-30.786,949.1,949.2
0,5303,20.352,-30.494,955.2,955.3
0,5304,20.361,-30.938,958.9,959
0,5305,20.369,-30.815,946.2,946.3
0,5306,20.369,-30.554,970.5,970.6
0,5307,20.391,-30.051,880,880.1
0,5308,20.395,-30.755,940.1,940.2
0,5309,20.411,-30.82,956.8,956.9
0,5310,20.419,-30.019,920,920.1
0,5311,20.419,-30.461,942,942.1
0,5312,20.421,-30.897,954.9,955
0,5313,20.424,-30.911,954.5,954.6
0,5314,20.434,-30.53,925.3,925.4
0,5315,20.435,-30.952,956.3,956.4
0,5316,20.441,-30.585,930.1,930.2
0,5317,20.448,-30.683,943.9,944
0,5318,20.452,-30.069,915,915.1
0,5319,20.454,-30.862,952.2,952.3
0,5320,20.461,-30.629,936,936.1
0,5321,20.461,-30.764,942.6,942.7
0,5322,20.462,-30.135,900,900.1
0,5323,20.463,-30.196,908,908.1
0,5324,20.466,-30.254,940,940.1
0,5325,20.481,-30.447,930,930.1
0,5326,20.492,-30.565,934.8,934.9
0,5327,20.504,-30.372,920,920.1
0,5328,20.515,-30.775,942.4,942.5
0,5329,20.525,-30.473,920,920.1
0,5330,20.527,-30.31,940,940.1
0,5331,20.539,-30.448,924.4,924.5
0,5332,20.541,-30.414,919,919.1
0,5333,20.549,-30.868,997.4,997.5
0,5334,20.552,-30.243,920,920.1
0,5335,20.576,-30.181,913,913.1
0,5336,20.577,-30.912,1000.9,1001
0,5337,20.593,-30.759,955.1,955.2
0,5338,20.596,-30.122,900,900.1
0,5339,20.597,-30.381,920,920.1
0,5340,20.606,-30.208,900,900.1
0,5341,20.609,-30.51,977.1,977.2
0,5342,20.626,-30.828,998.9,999
0,5343,20.628,-30.06,880,880.1
0,5344,20.634,-30.964,1023,1023.1
0,5345,20.669,-30.756,957.2,957.3
0,5346,20.681,-30.548,976.5,976.6
0,5347,20.682,-30.371,960,960.1
0,5348,20.687,-30.219,940,940.1
0,5349,20.709,-30.99,1037.7,1037.8
0,5350,20.715,-30.912,1010.1,1010.2
0,5351,20.736,-30.845,995,995.1
0,5352,20.743,-30.724,962.2,962.3
0,5353,20.744,-30.659,939.5,939.6
0,5354,20.748,-30.786,975.5,975.6
0,5355,20.748,-30.55,979.7,979.8
0,5356,20.751,-30.201,925,925.1
0,5357,20.76,-30.479,998.6,998.7
0,5358,20.767,-30.422,983.3,983.4
0,5359,20.77,-30.375,960,960.1
0,5360,20.785,-30.365,949.8,949.9
0,5361,20.791,-30.955,1079.6,1079.7
0,5362,20.791,-30.598,949.7,949.8
0,5363,20.817,-30.184,895,895.1
0,5364,20.831,-30.661,969,969.1
0,5365,20.842,-30.852,1006,1006.1
0,5366,20.848,-30.395,990,990.1
0,5367,20.857,-30.462,999.5,999.6
0,5368,20.873,-30.4,993.4,993.5
0,5369,20.875,-30.6,969.1,969.2
0,5370,20.876,-30.701,984.9,985
0,5371,20.876,-30.526,1004.5,1004.6
0,5372,20.889,-30.16,935,935.1
0,5373,20.895,-30.596,962.8,962.9
0,5374,20.91,-30.841,1032.7,1032.8
0,5375,20.914,-30.783,1016,1016.1
0,5376,20.919,-30.408,990,990.1
0,5377,20.927,-30.622,977.5,977.6
0,5378,20.945,-30.727,1006.8,1006.9
0,5379,20.949,-30.561,963,963.1
0,5380,20.956,-30.414,965.7,965.8
0,5381,20.959,-30.689,995.9,996
0,5382,20.963,-30.126,910,910.1
0,5383,20.969,-30.484,997.4,997.5
0,5384,20.989,-30.926,1091.5,1091.6
0,5385,20.996,-30.408,980,980.1
0,5386,20.997,-30.562,957.7,957.8
0,5387,20.997,-30.856,1091.1,1091.2
0,5388,21.007,-30.819,1055.2,1055.3
0,5389,21.013,-30.769,1038.4,1038.5
0,5390,21.022,-30.284,970,970.1
0,5391,21.038,-30.23,960,960.1
0,5392,21.039,-30.345,1000,1000.1
0,5393,21.068,-30.185,900,900.1
0,5394,21.072,-30.12,880,880.1
0,5395,21.073,-30.374,1000,1000.1
0,5396,21.101,-30.59,1000.3,1000.4
0,5397,21.103,-30.985,1179.3,1179.4
0,5398,21.105,-30.016,858,858.1
0,5399,21.107,-30.924,1159,1159.1
0,5400,21.112,-30.717,1110.5,1110.6
0,5401,21.113,-30.861,1094.3,1094.4
0,5402,21.116,-30.081,892,892.1
0,5403,21.118,-30.787,1088.7,1088.8
0,5404,21.12,-30.459,954.4,954.5
0,5405,21.121,-30.602,999.8,999.9
